029SS	116JS	129GP	46	215	300	023TD	077SF	193MR	152JF	179TH	115RW	HG113	043RB	063CG	149SD	HG237	282	843	895	2123	120NG	12	710	128TW	164JO	HG216	064DB	453	198LW
1	0	0	0	3	0	0	0	0	0	0	0	0	0	43	0	6	0	0	0	0	0	0	0	0	0	99	0	72	0
0	0	50	190	394	456	0	0	503	72	0	0	0	0	334	529	0	5	0	548	0	0	0	0	387	2	0	0	33	0
66	135	75	320	20	76	135	0	24	1	0	174	100	63	38	9	27	142	0	80	0	43	9	311	11	1	47	51	157	38
3	0	22	137	307	232	0	0	239	57	0	0	0	0	196	340	8	3	0	393	0	0	0	0	220	2	60	290	21	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	6	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0
0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0
0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	23	8	2	0	0	0	0	7	0	0	0	0	0	2	0	0	0	0	0	17	0	0	0	0	0	0
0	0	3	0	0	0	0	0	0	0	0	14	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	55	0	0	0	0	0	0	8
0	0	0	0	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	1	11	0	5	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	21	5	3	0	0	0	7	0
0	0	17	0	9	3	1	0	1	5	0	1	0	0	0	0	0	7	0	0	0	3	0	2	0	0	1	0	6	0
0	0	2	4	1	1	0	0	0	0	0	0	4	0	0	0	6	1	3	2	0	2	15	4	0	0	12	0	5	0
0	0	1	22	4	0	0	0	0	0	0	1	0	0	0	0	10	0	0	1	0	2	14	5	0	0	1	0	1	0
0	0	0	0	9	3	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	22	0	0	6	0	0	0	13	0
0	0	0	0	5	5	0	0	0	0	0	0	0	9	0	0	17	19	0	43	0	0	0	0	0	0	7	0	28	0
0	0	0	0	0	0	0	0	0	0	0	0	138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12	35	1	0	36	0	0	0	0	0	0	0	0	1	0	0	3	11	0	2	0	1	0	12	0	0	0	0	1	0
0	1	1	0	1	0	0	0	0	0	7	0	0	0	4	0	0	0	0	26	0	0	9	12	0	19	0	0	6	3
5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0
0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	132	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	2	0	0	0	0	0	3	0	0	0	0
0	0	0	0	17	0	0	57	1	0	0	3	0	0	0	0	14	6	0	0	0	5	0	4	0	0	4	0	9	0
0	0	0	0	125	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	2	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0
0	9	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	6	0	3	0
0	0	0	0	3	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	7	0	0	0	0	0	1	2
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	8	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	2	0	0	2	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0
0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	10	0	0	0	0	0	6	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0
0	0	0	0	23	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	1	0	0	0	26	0	0	0	0	0	0
0	0	0	1	1	0	0	1	0	2	7	3	0	0	2	0	0	0	0	5	0	0	2	0	0	3	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0
0	0	2	0	0	0	0	0	0	2	2	1	1	10	0	0	0	0	7	0	0	0	0	0	0	2	0	0	0	0
0	0	0	2	0	0	9	3	0	0	1	0	0	0	1	0	0	0	0	0	0	3	0	2	0	0	1	0	7	0
0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	3	0	0	0	0	0	5	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	11	0
0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	7	0	0	0	1	2	0	1	0	0	0	2
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0
0	0	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	0	0	4	0	0	0	0	0
0	0	0	4	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	2	0	1	2	0	0	0	0	0	2	1
0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	1	0	0	0	0	0	0	0	0	0	2	0	0	0	1
0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	1	0	0	0	2	0	0	0	0	0	0	8
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	1	0	8	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1
0	2	1	2	2	0	0	0	0	0	0	15	0	0	1	1	0	3	0	1	0	0	1	5	0	0	0	0	5	2
0	0	1	0	0	0	0	0	0	0	0	0	0	0	8	0	13	0	0	0	0	0	0	0	0	0	28	0	0	0
0	0	2	0	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0
0	0	0	0	0	0	0	0	0	29	0	17	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0
0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	22	0	0	0	0	1	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	2	0	0	7	0	0	0	0	0	11	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	58	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0	0	0	0	0	0	0	0	2	0	0	0
0	0	7	0	0	0	0	0	1	6	0	0	0	0	0	0	0	31	0	0	0	2	0	4	0	0	0	0	3	0
0	0	0	0	0	53	0	0	0	0	0	0	0	0	38	4	0	62	0	0	0	0	0	0	0	0	1	0	0	0
0	0	132	0	0	0	0	0	12	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	5	0	0
1	0	0	0	0	115	0	1	0	0	0	0	0	0	0	16	0	0	0	29	0	0	0	0	0	0	0	0	0	0
0	0	0	117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0
0	0	0	0	0	0	13	29	64	0	14	0	0	0	6	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0
0	0	1	0	0	0	0	0	0	4	10	28	0	0	3	0	0	21	0	29	0	0	38	0	1	0	0	0	18	0
0	0	0	0	0	134	0	2	0	0	0	0	0	0	0	0	2	0	0	17	0	0	0	0	0	0	2	0	0	0
0	0	0	0	143	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	5	0	1	1	0	0	0
0	0	0	0	40	1	0	0	2	1	0	0	0	1	4	0	2	0	0	6	0	0	0	0	0	0	70	3	31	0
0	0	0	0	6	1	0	0	0	0	0	0	0	0	27	0	3	0	0	0	0	0	0	0	0	0	73	0	50	0
0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	1	0
0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
