Ro2020s021	Ro2020s035	Ro2020s001	Ro2020s003	Ro2020s022	Ro2020s028	Ro2020s012	Ro2020s002	Ro2020s008	Ro2020s026	Ro2020s024	Ro2020s037	Ro2020s016	Ro2020s004	Ro2020s019	Ro2020s029	Ro2020s031	Ro2020s027	Ro2020s009	Ro2020s039	Ro2020s010	Ro2020s030	Ro2020s013	Ro2020s020	Ro2020s007	Ro2020s017	Ro2020s014	Ro2020s023	Ro2020s015	Ro2020s033	Ro2020s025	Ro2020s038	Ro2020s011	Ro2020s018	Ro2020s006	Ro2020s005	Ro2020s036	Ro2020s032	Ro2020s034
0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	5	0	0	3	2	2	0	0	0	0	0	0	1	2	0	0	0	0	0	0
0	0	4	2	2	4	0	0	2	2	0	0	3	3	5	6	0	2	0	0	3	0	0	2	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	4	0	0	0	0	0	0	0	0	2	3	0	0	0	0	0	0
18	0	0	0	0	0	2	0	0	0	0	0	6	0	7	5	0	6	4	0	4	0	0	33	0	0	0	0	0	0	0	0	6	3	8	13	0	0	0
2	0	0	1	11	0	2	2	4	0	0	0	4	1	0	1	6	0	4	0	4	0	1	3	2	0	0	0	0	8	1	3	5	0	0	1	0	5	2
123	0	24	0	90	731	11	4	5	416	262	0	15	0	38	1046	0	20	9	0	8	0	17	135	5	8	4	70	11	5	258	0	16	31	12	10	0	0	5
246	90	0	0	39	293	0	0	158	201	0	313	0	0	0	27	86	0	0	0	0	139	0	298	190	0	0	19	0	148	7	0	0	0	0	0	324	127	490
32	14	0	0	0	0	0	0	0	3	0	36	0	0	0	2	237	0	0	0	0	364	0	35	0	0	0	0	0	35	0	0	0	0	0	0	51	24	89
0	0	0	0	2	3	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	4	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
116	0	2	3	1236	233	87	0	20	138	114	0	628	0	2515	961	0	675	193	380	186	0	55	142	16	5	13	746	12	0	148	596	110	2648	58	84	2	0	0
0	0	2	0	0	0	7	0	4	0	6	0	0	0	0	0	11	0	9	7	5	16	9	0	11	9	0	0	9	8	0	16	5	0	0	0	0	3	0
0	0	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0	2	8	0	0	0	3	0	3	2	0	0	3	3	0	1	0	0	0	0	0	2	0
4	0	0	0	0	5	0	0	0	2	8	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	9	0	0	0	0	2	0	0	0
0	0	0	0	2	6	5	0	16	3	0	0	3	0	0	9	0	0	5	10	8	0	5	0	18	7	3	0	4	0	0	15	6	0	0	0	0	0	0
0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	13	2	0	0	0	2	0	0	0	3	0	0	0	0	0	0	0	9	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	3	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	4	1	4	0	0	0
10	0	0	0	5	2	0	0	0	0	2	0	11	0	5	5	0	14	4	0	0	0	2	2	4	0	0	0	0	0	2	0	4	11	3	2	0	0	0
0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29	0	21	8	6	7	24	2	13	14	8	0	25	11	24	25	2	45	32	0	31	5	39	32	11	16	15	6	23	2	13	0	27	58	9	8	0	2	0
0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	5	0	0	0	0	0	0	0	0	0	6	0	0	8	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	2	0	4	0	0	1	0	0	0	0	0	0	0	0
0	0	0	0	5	0	0	0	0	2	4	0	0	0	3	10	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	2	0	2	0	0	0	0	2	2	0	0	0	2	0	0	0	0	0	0
