SampleID	Groups
ITLF2B	COLD
ITLF2C	COLD
ITRB1A	COLD
ITRB1B	COLD
ITRB1C	COLD
ITMC3A	COLD
ITMC3B	COLD
ITMC3C	COLD
CAMT6A	COLD
CAMT6B	COLD
CAMT6C	COLD
CAMT7A	COLD
CAMT7C	COLD
CAMT7B	COLD
CAMT8B	COLD
CAMT8A	COLD
CAMT8C	COLD
CAMT2C	COLD
CAMT2B	COLD
CAMT2A	COLD
CAMT4A	COLD
CAMT4B	COLD
CAMT4C	COLD
CAMT5B	COLD
CAMT5C	COLD
CAMT5A	COLD
CAMT3A	COLD
CAMT3C	COLD
CAMT3B	COLD
ITFS4B	COLD
ITFS4A	COLD
CAMT1C	COLD
CAMT1B	COLD
CAMT1A	COLD
USPT3A	COLD
USPT3C	COLD
USPT3B	COLD
USPT2B	COLD
USPT2A	COLD
USPT2C	COLD
USPT1A	COLD
USPT1C	COLD
USPT1B	COLD
USPT4C	COLD
USPT4A	COLD
USPT4B	COLD
CAMT9A	COLD
CAMT9C	COLD
CAMT9B	COLD
CNHB7A	COLD
CNHB7B	COLD
CNHB7C	COLD
CNHB6B	COLD
CNHB5B	COLD
CNHB6A	COLD
CNHB5A	COLD
CNHB6C	COLD
CNHB5C	COLD
CNHB4C	COLD
CNHB4B	COLD
CNHB4A	COLD
CNHB3A	COLD
CNHB3B	COLD
CNHB3C	COLD
CAMT10B	COLD
CAMT10C	COLD
CAMT10A	COLD
CAMT11C	COLD
CAMT11A	COLD
CAMT11B	COLD
CHDA1A	COLD
CHDA1B	COLD
CHDA1C	COLD
CHBU1A	COLD
CHBU1B	COLD
CHBU1C	COLD
CHGS1C	COLD
CHGS1B	COLD
CHGS1A	COLD
CHKU1B	COLD
CHKU1A	COLD
CHKU1C	COLD
ATLA2C	COLD
ATLA2B	COLD
ATLA2A	COLD
ATLA1A	COLD
ATLA1B	COLD
ATLA1C	COLD
ATLA4A	COLD
ATLA4C	COLD
ATLA4B	COLD
ATLA3C	COLD
ATLA3B	COLD
ATLA3A	COLD
LUSF1C	COLD
LUSF1B	COLD
LUSF1A	COLD
UKSL1B	COLD
UKSL1C	COLD
UKSL1A	COLD
UKML1B	COLD
UKML1A	COLD
UKML1C	COLD
UKTM1C	COLD
UKTM1A	COLD
UKTM1B	COLD
UKHD1A	COLD
UKHD1C	COLD
UKHD1B	COLD
SESD3C	COLD
SESD3B	COLD
SESD3A	COLD
SESD2C	COLD
SESD2B	COLD
SESD1A	COLD
SESD1B	COLD
SESD1C	COLD
SESD2A	COLD
DKAE1C	COLD
DKAE1A	COLD
DKAE1B	COLD
DKAW1B	COLD
DKAW1C	COLD
DKAW1A	COLD
SEUL1C	COLD
SEUL1B	COLD
SEUL1A	COLD
SEGL1C	COLD
SEGL2A	COLD
SEGL1A	COLD
SEGL1B	COLD
SEGL2B	COLD
SEGL2C	COLD
SEVS1C	COLD
SEVS1B	COLD
SEVS1A	COLD
USAK1D	COLD
USAK1C	COLD
USAK1B	COLD
USAK1A	COLD
USAK2D	COLD
USAK2C	COLD
USAK2B	COLD
USAK2A	COLD
USAK3B	COLD
USAK3A	COLD
USAK3C	COLD
USAK3D	COLD
